,amecro,amerob,bewwre,bkcchi,daejun,houfin,houspa,norfli,rewbla,sonspa,spotow,whcspa
amecro,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091
amerob,0.0,0.53125,0.09375,0.0,0.03125,0.03125,0.125,0.03125,0.09375,0.0,0.0625,0.0
bewwre,0.0,0.0625,0.3125,0.0,0.15625,0.03125,0.15625,0.0,0.03125,0.125,0.125,0.0
bkcchi,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2
daejun,0.034482758620689655,0.0,0.034482758620689655,0.034482758620689655,0.5862068965517241,0.0,0.034482758620689655,0.0,0.0,0.06896551724137931,0.06896551724137931,0.13793103448275862
houfin,0.0,0.15789473684210525,0.05263157894736842,0.0,0.05263157894736842,0.15789473684210525,0.42105263157894735,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0
houspa,0.0078125,0.0390625,0.046875,0.0,0.078125,0.0,0.75,0.0078125,0.015625,0.0078125,0.0234375,0.0234375
norfli,0.125,0.125,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.25,0.125
rewbla,0.0,0.10526315789473684,0.10526315789473684,0.02631578947368421,0.07894736842105263,0.05263157894736842,0.23684210526315788,0.0,0.18421052631578946,0.0,0.18421052631578946,0.02631578947368421
sonspa,0.0,0.061224489795918366,0.2857142857142857,0.061224489795918366,0.12244897959183673,0.061224489795918366,0.02040816326530612,0.0,0.02040816326530612,0.20408163265306123,0.16326530612244897,0.0
spotow,0.037037037037037035,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.18518518518518517,0.0,0.0,0.037037037037037035,0.3333333333333333,0.0
whcspa,0.0,0.10526315789473684,0.10526315789473684,0.0,0.10526315789473684,0.0,0.10526315789473684,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.42105263157894735
