convolution_width,dropout_rate,starting_filter_cnt,epoch,accuracy,average_precision,average_recall,average_f1
3.0,0.1,16.0,32,0.8333333333333334,0.8319623971797885,0.8228571428571428,0.8263888888888888
3.0,0.3,16.0,40,0.8166666666666667,0.8125,0.8085714285714285,0.8102903133084219
3.0,0.5,16.0,40,0.8166666666666667,0.8125,0.8200000000000001,0.8141368628555337
5.0,0.1,16.0,37,0.85,0.8500000000000001,0.8600000000000001,0.848951048951049
5.0,0.3,16.0,27,0.8666666666666667,0.864293659621802,0.8742857142857143,0.8653198653198653
5.0,0.5,16.0,40,0.7166666666666667,0.7749999999999999,0.7514285714285713,0.7146853146853147
7.0,0.1,16.0,40,0.95,0.9468325791855203,0.9514285714285714,0.948849104859335
7.0,0.3,16.0,36,0.85,0.8459821428571428,0.8542857142857143,0.847930160518164
7.0,0.5,16.0,40,0.85,0.8459821428571428,0.8542857142857143,0.847930160518164
3.0,0.1,32.0,35,0.8,0.8228571428571428,0.8228571428571428,0.8
3.0,0.3,32.0,21,0.6,0.7966101694915254,0.52,0.41080196399345337
3.0,0.5,32.0,40,0.8166666666666667,0.8236607142857143,0.8314285714285714,0.8162071846282373
5.0,0.1,32.0,20,0.4166666666666667,0.20833333333333334,0.5,0.29411764705882354
5.0,0.3,32.0,40,0.8,0.7946127946127945,0.8,0.7963800904977376
5.0,0.5,32.0,40,0.8,0.7946127946127945,0.8,0.7963800904977376
7.0,0.1,32.0,40,0.8666666666666667,0.8619528619528619,0.8685714285714285,0.8642533936651584
7.0,0.3,32.0,40,0.8333333333333334,0.8309232480533926,0.8400000000000001,0.8316498316498316
7.0,0.5,32.0,40,0.6,0.7966101694915254,0.52,0.41080196399345337
